,track_id,album_name,artists,track_name,release_date,track_genre,duration_ms,explicit,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,preview_url,popularity
3536,6qw3TxMncHPSdSfJ3esZKZ,Now & Then,Plàsi,Who Are We,2016,rainy-day,273437,False,https://api.spotify.com/v1/tracks/6qw3TxMncHPSdSfJ3esZKZ,0.563,0.31,2,-9.484,1,0.0343,0.851,2.4e-05,0.102,0.369,72.988,4,https://p.scdn.co/mp3-preview/cf1073e168285f05a70c3c92f64cb7fa7fe21427?cid=1b0f76afafac4d4898811b950e1a0c08,43
3537,18wuWtph9JW9dA9nNLwPx5,The Kingfisher,Rosemary & Garlic,The Kingfisher,2017-11-17,rainy-day,206685,False,https://api.spotify.com/v1/tracks/18wuWtph9JW9dA9nNLwPx5,0.323,0.102,4,-16.134,0,0.0342,0.988,0.0385,0.0916,0.119,104.236,4,https://p.scdn.co/mp3-preview/fc93dcc9e1bd3315ba950ecb3df2b3c32a28d921?cid=1b0f76afafac4d4898811b950e1a0c08,44
3538,4bO1ldlM0GrVbsiRZPZAAU,Snow,Angus & Julia Stone,Nothing Else,2017-09-15,rainy-day,264000,False,https://api.spotify.com/v1/tracks/4bO1ldlM0GrVbsiRZPZAAU,0.712,0.31,1,-13.533,0,0.0379,0.889,0.0133,0.102,0.367,123.994,4,https://p.scdn.co/mp3-preview/47c340ee6987392704d8112fa1f35666e1b5ef41?cid=1b0f76afafac4d4898811b950e1a0c08,47
3539,2ZqhjS3T4r3DLcQqI2sqf5,Tremors,SOHN,The Wheel,2014-04-07,rainy-day,233017,False,https://api.spotify.com/v1/tracks/2ZqhjS3T4r3DLcQqI2sqf5,0.668,0.431,6,-6.988,0,0.0498,0.303,0.0246,0.0829,0.26,180.051,3,https://p.scdn.co/mp3-preview/45aca9036cc63b240db7cd5f29d92ccbc3b6d68b?cid=1b0f76afafac4d4898811b950e1a0c08,49
3540,3eCg0wDpSGXIygdgetOdNq,Never Enough,TWO LANES,Never Enough,2020-06-18,rainy-day,272250,False,https://api.spotify.com/v1/tracks/3eCg0wDpSGXIygdgetOdNq,0.724,0.376,7,-13.95,0,0.0331,0.235,0.843,0.111,0.115,113.993,4,https://p.scdn.co/mp3-preview/a7027833125876c657bfb6b10dd2ecf8d6d87a74?cid=1b0f76afafac4d4898811b950e1a0c08,49
3541,2UQYVFUrqybUciB3ULiysS,Fine But Dying,Liza Anne,"I Love You, But I Need Another Year",2018-03-09,rainy-day,222600,True,https://api.spotify.com/v1/tracks/2UQYVFUrqybUciB3ULiysS,0.253,0.627,11,-7.086,0,0.0678,0.0932,0.002,0.137,0.257,169.517,4,,47
3542,29yc6W0C064wpa9GRXEmOs,Play Out / Pieces of the Day,Zola Blood,Play Out,2015-11-06,rainy-day,277670,False,https://api.spotify.com/v1/tracks/29yc6W0C064wpa9GRXEmOs,0.634,0.523,8,-13.397,1,0.0423,0.362,0.849,0.094,0.0917,116.011,4,https://p.scdn.co/mp3-preview/abc3f832428b0f61a1af3774a657ce83a6193bd9?cid=1b0f76afafac4d4898811b950e1a0c08,43
3543,1TUPVZvzEg7M2kU7QfLZwm,Seed of Joy,Marc Scibilia,Summer Clothes (Acoustic),2020-11-13,rainy-day,138613,False,https://api.spotify.com/v1/tracks/1TUPVZvzEg7M2kU7QfLZwm,0.634,0.412,6,-9.356,1,0.041,0.855,5.83e-05,0.0884,0.713,85.941,4,https://p.scdn.co/mp3-preview/90ee3f71ac69712fe1cc8e4a4f0aeedda9242b9a?cid=1b0f76afafac4d4898811b950e1a0c08,41
3544,41gAl7NWBpb29Kc1bjlFBE,Aetherlight,Mt. Wolf,Tucana,2017-05-26,rainy-day,156360,False,https://api.spotify.com/v1/tracks/41gAl7NWBpb29Kc1bjlFBE,0.55,0.417,9,-13.298,1,0.0353,0.771,0.841,0.112,0.132,84.0,4,,48
3545,7MO0RG25sabwNBHlEv1WNG,Claimed by the Sea,French For Rabbits,Claimed by the Sea,2012,rainy-day,257506,False,https://api.spotify.com/v1/tracks/7MO0RG25sabwNBHlEv1WNG,0.436,0.187,5,-12.737,0,0.0352,0.918,0.383,0.111,0.0479,115.295,4,https://p.scdn.co/mp3-preview/f0ad213b491d92f4696d12d92d16ffafe812fd25?cid=1b0f76afafac4d4898811b950e1a0c08,45
3546,3UwbUAs7mOGeuP25FcK41E,Birthdays,Keaton Henson,"Sweetheart, What Have You Done To Us",2013-02-25,rainy-day,210106,False,https://api.spotify.com/v1/tracks/3UwbUAs7mOGeuP25FcK41E,0.41,0.171,9,-13.112,0,0.0339,0.91,0.00146,0.189,0.174,126.327,3,https://p.scdn.co/mp3-preview/7710f34039e606b96ae0770b3ac4e439d2d73c31?cid=1b0f76afafac4d4898811b950e1a0c08,41
3547,1QFSVQJsEKB9JArFWo36Cy,Infinite Games,Zola Blood,Heartbeat,2017-07-28,rainy-day,222386,False,https://api.spotify.com/v1/tracks/1QFSVQJsEKB9JArFWo36Cy,0.698,0.578,9,-8.785,0,0.0355,0.161,0.0784,0.097,0.353,118.02,4,https://p.scdn.co/mp3-preview/f94b3d646f79525f141284c3651c8ed6d21e4840?cid=1b0f76afafac4d4898811b950e1a0c08,40
